/home/uceedv1/thesis/ns3ai-venv/lib64/python3.9/site-packages/networkx/utils/backends.py:135: RuntimeWarning: networkx backend defined more than once: nx-loopback
  backends.update(_get_backends("networkx.backends"))
[TopoAgnosticMARLEnv] 17 topos: atlanta_sndlib(15n), cost266_sndlib(37n), dfn-bwin_sndlib(10n), dfn-gwin_sndlib(11n), di-yuan_sndlib(11n), france_sndlib(25n), india35_sndlib(35n), janos-us_sndlib(26n), newyork_sndlib(16n), nobel-eu_sndlib(28n), nobel-germany_sndlib(17n), nobel-us_sndlib(14n), norway_sndlib(27n), pdh_sndlib(11n), polska_sndlib(12n), ta1_sndlib(24n), zib54_sndlib(54n); stretch=2 max_stretch=4 fail_links=0 metric=weighted
[tier2] train on 17 topos (tmgen traffic), zero-shot test on ['abilene_sndlib', 'geant_sndlib', 'germany50_sndlib']; seed=8 updates=732
  upd 620/732  ep_ret~-266.60  pl -0.022  vl 9.005  ent 0.160
  upd 625/732  ep_ret~-218.03  pl +0.017  vl 4.192  ent 0.336
  upd 630/732  ep_ret~-225.39  pl -0.137  vl 9.819  ent 0.131
  upd 635/732  ep_ret~-197.93  pl -0.147  vl 16.502  ent 0.318
  upd 640/732  ep_ret~-258.06  pl -0.027  vl 6.381  ent 0.170
  upd 645/732  ep_ret~-413.78  pl -0.083  vl 0.684  ent 0.356
  upd 650/732  ep_ret~-314.62  pl -0.026  vl 9.649  ent 0.399
  upd 655/732  ep_ret~-106.25  pl +0.044  vl 32.514  ent 0.287
  upd 660/732  ep_ret~-234.00  pl +0.145  vl 45.477  ent 0.602
  upd 665/732  ep_ret~-317.14  pl -0.015  vl 1.408  ent 0.386
  upd 670/732  ep_ret~-227.54  pl +0.062  vl 5.472  ent 0.159
  upd 675/732  ep_ret~-153.42  pl -0.003  vl 30.087  ent 0.330
  upd 680/732  ep_ret~-132.23  pl -0.043  vl 28.951  ent 0.213
  upd 685/732  ep_ret~-233.19  pl +0.041  vl 7.572  ent 0.254
  upd 690/732  ep_ret~-226.65  pl +0.058  vl 2.159  ent 0.259
  upd 695/732  ep_ret~-151.06  pl +0.144  vl 45.831  ent 0.210
  upd 700/732  ep_ret~-258.08  pl -0.075  vl 13.218  ent 0.161
  upd 705/732  ep_ret~-121.10  pl +0.030  vl 14.913  ent 0.231
  upd 710/732  ep_ret~-223.39  pl -0.047  vl 7.023  ent 0.272
  upd 715/732  ep_ret~-235.33  pl -0.079  vl 15.270  ent 0.563
  upd 720/732  ep_ret~-236.16  pl -0.056  vl 12.254  ent 0.282
  upd 725/732  ep_ret~-318.84  pl +0.088  vl 4.545  ent 0.573
  upd 730/732  ep_ret~-280.65  pl +0.031  vl 4.893  ent 0.393
  upd 732/732  ep_ret~-265.41  pl -0.046  vl 13.569  ent 0.298
[saved] results/marlgnn_tier2m15cm_seed8/policy.pt

[eval] ZERO-SHOT on core backbones (real measured test traffic):
[TopoAgnosticMARLEnv] 1 topos: abilene_sndlib(12n); stretch=2 max_stretch=4 fail_links=0 metric=weighted
  [abilene_sndlib       feasible] OSPF   57.2%  ECMP   57.4%  MARL   58.4%  vs-OSPF -1.2pt  vs-ECMP -1.0pt  (n=18)
[TopoAgnosticMARLEnv] 1 topos: geant_sndlib(22n); stretch=2 max_stretch=4 fail_links=0 metric=weighted
  [geant_sndlib         overload] OSPF  145.5%  ECMP  106.3%  MARL   95.6%  vs-OSPF +49.9pt  vs-ECMP +10.6pt  (n=8)
  [geant_sndlib         feasible] OSPF   71.2%  ECMP   54.2%  MARL   50.4%  vs-OSPF +20.8pt  vs-ECMP +3.8pt  (n=10)
[TopoAgnosticMARLEnv] 1 topos: germany50_sndlib(50n); stretch=2 max_stretch=4 fail_links=0 metric=weighted
  [germany50_sndlib     overload] OSPF  252.1%  ECMP  183.8%  MARL  108.3%  vs-OSPF +143.8pt  vs-ECMP +75.5pt  (n=18)

[saved] results/marlgnn_tier2m15cm_seed8/summary.json
